year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2012,123,w2x,順決,2,立命館大学,01:51.04,03:47.31,05:43.68,07:39.71,111.03999999999999,227.31,343.68,459.71,3,
2012,123,w2x,順決,3,今治西高校B,01:53.30,03:53.00,05:51.10,07:47.69,113.3,233.0,351.1,467.69,4,
2012,124,w2x,決勝,3,関西電力小浜,01:44.50,03:36.43,05:30.12,07:25.86,104.5,216.43,330.12,445.86,1,
2012,124,w2x,決勝,5,岐阜経済大学,01:44.70,03:38.49,05:34.32,07:30.60,104.7,218.49,334.32,450.6,2,
2012,124,w2x,決勝,4,大垣共立銀行,01:47.10,03:43.26,05:38.38,07:35.72,107.1,223.26,338.38,455.72,3,
2012,124,w2x,決勝,2,日本体育大学,01:51.67,03:49.90,05:49.54,07:46.84,111.67,229.9,349.54,466.84000000000003,4,
2012,1,m1x,予選A組,3,高田 直生(敦賀工業高校B),01:51.20,03:50.34,05:54.30,08:00.00,111.2,230.34,354.3,480.0,1,→Semi-Final
2012,1,m1x,予選A組,4,内田 達大(吉田高校),01:58.12,04:02.16,06:09.95,08:13.36,118.12,242.16,369.95,493.36,2,
2012,1,m1x,予選A組,6,大釋 一樹(東レ滋賀),01:52.15,03:54.91,06:03.73,08:20.20,112.15,234.91,363.73,500.2,3,
2012,1,m1x,予選A組,5,壷井 広大(日本医科大学),02:01.29,04:09.43,06:22.05,08:31.78,121.29,249.43,382.05,511.78,4,
2012,1,m1x,予選A組,2,平山 伸弘(東京外国語大学C),01:58.43,04:05.94,06:19.59,08:34.62,118.43,245.94,379.59,514.62,5,
2012,1,m1x,予選A組,1,尾崎 光(今治西高校C),02:02.49,04:13.26,06:27.25,08:42.38,122.49,253.26,387.25,522.38,6,
2012,2,m1x,予選B組,1,今井 龍太(東海大学),01:55.15,03:57.64,06:01.80,08:11.04,115.15,237.64,361.8,491.04,1,→Semi-Final
2012,2,m1x,予選B組,4,長谷尾 尚人(明治大学A),01:58.39,04:03.79,06:13.18,08:22.17,118.39,243.79,373.18,502.17,2,
